"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.33049314426558e-69,2.5821352283881,0.971,0.531,4.61681121060155e-67,"12","FOSB"
2.95796585552654e-65,2.90578158026754,0.463,0.075,1.02641415186771e-62,"12","LAP3"
6.2679201198809e-65,2.36864104424091,0.632,0.135,2.17496828159867e-62,"12","CD37"
3.81735387738817e-62,3.97351606407868,0.61,0.147,1.32462179545369e-59,"12","EGR1"
1.38682709751598e-61,2.87369699236139,0.618,0.145,4.81229002838047e-59,"12","JUN"
1.70043980275364e-61,2.61779142687241,0.5,0.091,5.90052611555512e-59,"12","ADA"
2.56726821480264e-56,2.48185822998668,0.596,0.137,8.90842070536516e-54,"12","CD44"
2.36199024022132e-55,2.51576863226575,0.838,0.306,8.19610613356797e-53,"12","DUSP1"
4.74327758059005e-55,3.41953801416245,0.265,0.03,1.64591732046475e-52,"12","XBP1"
2.73161482636421e-52,2.34273592745292,0.551,0.123,9.47870344748381e-50,"12","IFITM3"
1.5573976114355e-44,2.46376021686572,0.551,0.142,5.40416971168118e-42,"12","SELL"
4.31148816453323e-32,2.02610315769309,0.39,0.092,1.49608639309303e-29,"12","ANXA5"
5.35527234058874e-30,1.05659969679364,0.287,0.057,1.85827950218429e-27,"12","IGHM-membrane"
4.32384974757109e-26,2.96796217093116,0.346,0.091,1.50037586240717e-23,"12","MYC"
6.02264685197293e-21,1.32452196201002,0.61,0.254,2.08985845763461e-18,"12","CD52"
1.24092489722798e-20,2.18501576516578,0.257,0.063,4.3060093933811e-18,"12","DOCK8"
3.94064718601979e-20,1.67313798796288,0.368,0.114,1.36740457354887e-17,"12","CNOT2"
2.19982351734507e-19,0.87267318286008,0.735,0.325,7.6333876051874e-17,"12","IL23R"
6.03817862583419e-19,1.52218002422661,0.412,0.143,2.09524798316446e-16,"12","JUNB"
2.75177008319011e-14,0.544471302801233,1,0.756,9.54864218866967e-12,"12","HLA-A"
5.36633553189889e-14,1.57178665182405,0.309,0.108,1.86211842956891e-11,"12","IFITM2"
8.22175310776695e-13,0.856514135535222,0.426,0.174,2.85294832839513e-10,"12","RUNX3"
8.59146317615471e-12,1.56172865162439,0.316,0.124,2.98123772212568e-09,"12","FTH1"
1.46172921759124e-11,1.44313652611421,0.279,0.102,5.07220038504162e-09,"12","FOXP1"
1.31230908584632e-09,1.74129122632448,0.265,0.107,4.55371252788672e-07,"12","LGALS1"
2.48732588818777e-07,0.835872766548347,0.654,0.445,8.63102083201157e-05,"12","CXCL8"
5.48791549360825e-06,0.403503639539515,0.507,0.288,0.00190430667628206,"12","PTPRC"
0.00143555672994681,0.626618182368414,0.272,0.167,0.498138185291543,"12","CD48"
0.00203655354147674,0.428686396376634,0.346,0.225,0.70668407889243,"12","S100A10"
0.00288492368578302,0.570275298683559,0.353,0.243,1,"12","DUSP2"
0.00954000552630033,0.259755961354809,0.338,0.231,1,"12","ITGB2"
0,5.60590722079693,0.867,0.052,0,"14","HLA-DPA1"
0,4.78829926909552,0.75,0.04,0,"14","HLA-DMA"
0,5.70406844981126,0.658,0.021,0,"14","TGFBI"
0,8.47545693295057,0.442,0.002,0,"14","CLEC10A"
0,9.5525861934532,0.4,0.002,0,"14","JCHAIN"
0,8.06699208759521,0.367,0.002,0,"14","CD1C"
0,9.66645415801148,0.258,0,0,"14","FCER1A"
2.81972189960841e-240,5.01922157872045,0.983,0.108,9.78443499164117e-238,"14","HLA-DRA"
3.06792164034403e-218,4.89639087566905,0.575,0.035,1.06456880919938e-215,"14","HLA-DQB1"
4.92384148568629e-198,5.0441311297864,0.325,0.012,1.70857299553314e-195,"14","CD86"
1.44287742620038e-189,5.83164124044713,0.442,0.023,5.00678466891532e-187,"14","IRF4"
1.60017338702916e-167,5.03144689966305,0.658,0.061,5.55260165299118e-165,"14","IRF8"
6.40187731288344e-151,4.54136323284529,1,0.204,2.22145142757055e-148,"14","CD74"
2.66274421713952e-136,3.77306292904066,0.4,0.026,9.23972243347414e-134,"14","IGKC"
6.54302532990863e-114,3.66439169155459,0.717,0.104,2.2704297894783e-111,"14","LGALS1"
3.76991911054814e-100,2.70291320237675,0.733,0.112,1.3081619313602e-97,"14","LYN"
6.26788042939937e-93,3.72312031732612,0.458,0.05,2.17495450900158e-90,"14","CXCL16"
1.0491477375306e-80,2.72769809227156,0.833,0.194,3.6405426492312e-78,"14","ARL4C"
1.12785487943062e-77,2.7826992329985,0.692,0.131,3.91365643162424e-75,"14","FCER1G"
3.47789878324719e-50,3.85204447841993,0.35,0.053,1.20683087778678e-47,"14","GZMB"
5.83673385665972e-43,2.87479792231187,0.342,0.055,2.02534664826092e-40,"14","ICAM1"
5.47264383095589e-42,3.36314174129147,0.275,0.038,1.8990074093417e-39,"14","PRDM1"
