TF,target,importance
JUN,DUSP1,4.496651575044924
FOSB,ADA,4.491771265585222
RUNX3,JUN,4.489075811977021
PAX5,HLA-DPA1,4.483759717617293
BCL11B,LAT,4.483183308494403
FOSB,FOXP1,4.48197935708002
JUNB,CD5,4.475361885773311
FOSB,PDIA4,4.475181506619279
FOXP1,STAT1,4.474151422900797
BCL11B,IL32,4.472783015787648
FOXP1,TNFSF8,4.468440091620814
BCL11B,SELL,4.466187280031986
RUNX3,GNAI2,4.46097707590092
RUNX3,TSPAN32,4.460863159184232
FOXP1,BCL11B,4.441389382260832
PAX5,LTA,4.4208724332818505
TBX21,LAIR2,4.396844414812276
EGR1,LGALS9,4.3773170941887445
FOSB,CD7,4.368847833041648
EGR1,RNASE2,4.362683567475627
FOXP1,YBX3,4.355231008922474
STAT3,GIMAP5,4.348907172757204
IRF8,PDIA4,4.323233775415382
BCL11B,SLC25A37,4.317911419159635
LEF1,BACH2,4.312131621263612
IRF8,PRDM1,4.30822945067172
FOSB,F13A1,4.283675485214702
FOXP1,FYB,4.277338118494845
FOXP1,CD3G,4.274094658073571
MYC,CD36,4.249563436566201
POU2AF1,CXCR5,4.2482180055502035
EGR1,BTG1,4.245183866357937
EGR1,CSF2,4.243566081520555
FOXP1,TNFRSF25,4.241742408170049
JUNB,IL23R,4.239612406320919
TCF4,FUT4,4.239490467022755
MYC,ALAS2,4.237129231105827
FOSB,C1QB,4.2354330726290215
TCF4,PDIA4,4.226185981492485
BCL11B,FAM65B,4.223376872173279
BCL6,FAM129C,4.223075243604772
JUNB,NT5E,4.220701153878324
JUNB,PTPRC,4.198650078593467
JUNB,JUN,4.172183500914485
STAT1,TYMS,4.1647888520032605
PRDM1,CD14,4.163542048767112
IRF8,PIK3AP1,4.159828177366874
PRDM1,S100A10,4.14922953043063
POU2AF1,IGKC,4.146595795757465
IRF8,SLC25A37,4.146067828628523
FOSB,VEGFA,4.142075777580569
FOSB,DOCK8,4.137628409632171
RORA,FOXP3,4.132909387537734
MYC,SNCA,4.131629581260996
EGR1,QPCT,4.130725366152594
FOSB,TCF7,4.129252848592938
BCL11B,PASK,4.126870530264011
BCL11B,FOXO1,4.122378377861173
JUN,TNF,4.092682662837967
STAT5A,PTTG2,4.09025705076833
FOSB,STAT4,4.076968767977533
JUN,RUNX3,4.074627468545217
LEF1,RORA,4.073407213665116
IRF8,RNASE2,4.061894605636832
STAT5A,MGST1,4.060511753080524
JUN,LGALS3,4.053243079454495
EGR1,CD244,4.0524333215194694
LEF1,THBD,4.046675539059159
JUN,IFNGR1,4.032493652646585
MYC,RGS1,4.029337055928476
EGR3,CD244,4.025492627816341
LEF1,TIGIT,4.024237697700393
JUN,LTA,4.020427621700172
IRF8,IL18RAP,4.016538120151936
FOXP1,CCR7,4.015491235782142
IRF8,YBX3,4.015150948010604
PAX5,HLA-DMA,4.012280420707587
LEF1,TCF7,4.007696080161174
BAX,CXCR4,3.9979368527833765
BAX,PDIA6,3.99688746052317
TCF4,RNASE6,3.9943174458520643
BCL11B,TRAC,3.989391801517739
PRDM1,VNN2,3.989203624657964
EGR1,CD300A,3.9868439416453954
IRF8,CTSD,3.9865091006184388
FOSB,LTA,3.985859440215144
BCL11B,CD2,3.975630371921053
BCL11B,CCR7,3.967665738284554
IRF8,KLRC1,3.9637629214846055
FOSB,TRBC2,3.961975546992368
